Channel Wavelength(nm) Current BackGround Spectrum1 
0 443.86 967 115 967 
1 444.42 981 130 981 
2 444.98 981 103 981 
3 445.55 1033 129 1033 
4 446.11 1032 119 1032 
5 446.67 1062 131 1062 
6 447.23 1094 119 1094 
7 447.79 1129 129 1129 
8 448.35 1132 124 1132 
9 448.92 1196 129 1196 
10 449.48 1211 116 1211 
11 450.04 1208 135 1208 
12 450.6 1260 114 1260 
13 451.16 1298 130 1298 
14 451.72 1310 118 1310 
15 452.29 1408 128 1408 
16 452.85 1374 114 1374 
17 453.41 1416 120 1416 
18 453.97 1463 119 1463 
19 454.53 1487 130 1487 
20 455.09 1509 111 1509 
21 455.66 1552 126 1552 
22 456.22 1612 112 1612 
23 456.78 1628 124 1628 
24 457.34 1637 112 1637 
25 457.9 1659 126 1659 
26 458.47 1710 117 1710 
27 459.03 1772 127 1772 
28 459.59 1817 124 1817 
29 460.15 1867 130 1867 
30 460.71 1887 121 1887 
31 461.27 1947 133 1947 
32 461.84 1996 110 1996 
33 462.4 2019 132 2019 
34 462.96 2065 120 2065 
35 463.52 2115 132 2115 
36 464.08 2144 112 2144 
37 464.64 2205 130 2205 
38 465.21 2294 113 2294 
39 465.77 2294 130 2294 
40 466.33 2355 118 2355 
41 466.89 2414 133 2414 
42 467.45 2416 118 2416 
43 468.01 2508 129 2508 
44 468.58 2548 116 2548 
45 469.14 2634 128 2634 
46 469.7 2673 115 2673 
47 470.26 2746 136 2746 
48 470.82 2776 118 2776 
49 471.38 2839 122 2839 
50 471.95 2901 113 2901 
51 472.51 2925 130 2925 
52 473.07 3018 109 3018 
53 473.63 3078 123 3078 
54 474.19 3119 121 3119 
55 474.76 3215 118 3215 
56 475.32 3257 118 3257 
57 475.88 3347 116 3347 
58 476.44 3377 110 3377 
59 477 3441 129 3441 
60 477.56 3491 116 3491 
61 478.13 3543 126 3543 
62 478.69 3609 106 3609 
63 479.25 3685 119 3685 
64 479.81 3707 110 3707 
65 480.37 3794 124 3794 
66 480.93 3854 113 3854 
67 481.5 3904 128 3904 
68 482.06 3967 116 3967 
69 482.62 4020 127 4020 
70 483.18 4076 114 4076 
71 483.74 4129 129 4129 
72 484.3 4214 110 4214 
73 484.87 4268 118 4268 
74 485.43 4325 108 4325 
75 485.99 4367 123 4367 
76 486.55 4477 109 4477 
77 487.11 4475 124 4475 
78 487.67 4571 124 4571 
79 488.24 4622 136 4622 
80 488.8 4696 117 4696 
81 489.36 4752 128 4752 
82 489.92 4804 118 4804 
83 490.48 4845 126 4845 
84 491.05 4919 126 4919 
85 491.61 4955 127 4955 
86 492.17 4967 120 4967 
87 492.73 5048 132 5048 
88 493.29 5099 109 5099 
89 493.85 5141 128 5141 
90 494.42 5199 111 5199 
91 494.98 5212 130 5212 
92 495.54 5289 112 5289 
93 496.1 5333 130 5333 
94 496.66 5379 114 5379 
95 497.22 5418 134 5418 
96 497.78 5491 118 5491 
97 498.35 5490 131 5490 
98 498.91 5545 114 5545 
99 499.47 5600 136 5600 
100 500.03 5645 114 5645 
101 500.59 5645 132 5645 
102 501.15 5684 116 5684 
103 501.71 5718 131 5718 
104 502.27 5759 115 5759 
105 502.83 5809 139 5809 
106 503.39 5857 114 5857 
107 503.95 5874 132 5874 
108 504.51 5907 117 5907 
109 505.07 5912 136 5912 
110 505.63 6005 112 6005 
111 506.19 5994 134 5994 
112 506.75 6052 109 6052 
113 507.3 6065 132 6065 
114 507.86 6110 119 6110 
115 508.42 6146 129 6146 
116 508.98 6197 122 6197 
117 509.54 6191 134 6191 
118 510.09 6221 117 6221 
119 510.65 6293 131 6293 
120 511.21 6313 124 6313 
121 511.76 6368 127 6368 
122 512.32 6373 116 6373 
123 512.88 6441 126 6441 
124 513.43 6457 111 6457 
125 513.99 6474 134 6474 
126 514.54 6526 108 6526 
127 515.1 6536 127 6536 
128 515.66 6568 118 6568 
129 516.21 6621 131 6621 
130 516.77 6625 119 6625 
131 517.32 6676 122 6676 
132 517.88 6709 120 6709 
133 518.43 6725 134 6725 
134 518.98 6767 109 6767 
135 519.54 6790 133 6790 
136 520.09 6831 119 6831 
137 520.65 6869 135 6869 
138 521.2 6914 116 6914 
139 521.75 6904 131 6904 
140 522.31 6938 110 6938 
141 522.86 6955 135 6955 
142 523.42 7006 116 7006 
143 523.97 7010 140 7010 
144 524.52 7031 120 7031 
145 525.08 7067 138 7067 
146 525.63 7109 115 7109 
147 526.18 7113 126 7113 
148 526.73 7152 115 7152 
149 527.29 7182 125 7182 
150 527.84 7214 115 7214 
151 528.39 7282 128 7282 
152 528.95 7269 118 7269 
153 529.5 7332 132 7332 
154 530.05 7366 117 7366 
155 530.6 7384 132 7384 
156 531.16 7407 116 7407 
157 531.71 7439 134 7439 
158 532.26 7449 114 7449 
159 532.81 7469 140 7469 
160 533.36 7535 118 7535 
161 533.92 7587 131 7587 
162 534.47 7618 118 7618 
163 535.02 7642 126 7642 
164 535.57 7666 121 7666 
165 536.13 7721 140 7721 
166 536.68 7725 114 7725 
167 537.23 7765 133 7765 
168 537.78 7801 112 7801 
169 538.34 7859 128 7859 
170 538.89 7870 121 7870 
171 539.44 7900 125 7900 
172 539.99 7934 120 7934 
173 540.55 7950 129 7950 
174 541.1 8016 117 8016 
175 541.65 8052 137 8052 
176 542.2 8070 116 8070 
177 542.76 8091 129 8091 
178 543.31 8125 107 8125 
179 543.86 8182 132 8182 
180 544.41 8225 122 8225 
181 544.97 8229 130 8229 
182 545.52 8264 132 8264 
183 546.07 8274 125 8274 
184 546.63 8335 114 8335 
185 547.18 8343 132 8343 
186 547.73 8431 118 8431 
187 548.29 8447 126 8447 
188 548.84 8477 115 8477 
189 549.39 8502 134 8502 
190 549.95 8526 120 8526 
191 550.5 8547 130 8547 
192 551.05 8581 114 8581 
193 551.61 8689 124 8689 
194 552.16 8652 127 8652 
195 552.72 8690 130 8690 
196 553.27 8725 116 8725 
197 553.82 8771 133 8771 
198 554.38 8800 114 8800 
199 554.93 8812 133 8812 
200 555.48 8840 118 8840 
201 556.04 8874 129 8874 
202 556.59 8919 115 8919 
203 557.14 8935 132 8935 
204 557.7 8967 118 8967 
205 558.25 8966 129 8966 
206 558.8 9043 122 9043 
207 559.36 8995 134 8995 
208 559.91 9046 120 9046 
209 560.46 9092 129 9092 
210 561.02 9074 116 9074 
211 561.57 9055 128 9055 
212 562.12 9141 117 9141 
213 562.67 9176 129 9176 
214 563.22 9191 117 9191 
215 563.78 9171 133 9171 
216 564.33 9224 117 9224 
217 564.88 9246 136 9246 
218 565.43 9294 110 9294 
219 565.98 9273 139 9273 
220 566.53 9313 119 9313 
221 567.09 9333 135 9333 
222 567.64 9326 120 9326 
223 568.19 9357 142 9357 
224 568.74 9393 113 9393 
225 569.29 9416 126 9416 
226 569.84 9416 120 9416 
227 570.39 9408 129 9408 
228 570.94 9426 116 9426 
229 571.49 9463 135 9463 
230 572.03 9511 121 9511 
231 572.58 9515 119 9515 
232 573.13 9485 123 9485 
233 573.68 9492 127 9492 
234 574.23 9501 121 9501 
235 574.77 9536 129 9536 
236 575.32 9578 125 9578 
237 575.87 9530 142 9530 
238 576.41 9562 119 9562 
239 576.96 9585 130 9585 
240 577.51 9585 119 9585 
241 578.05 9623 146 9623 
242 578.6 9647 119 9647 
243 579.14 9629 121 9629 
244 579.69 9708 115 9708 
245 580.23 9717 128 9717 
246 580.78 9721 110 9721 
247 581.32 9755 130 9755 
248 581.87 9794 113 9794 
249 582.41 9828 133 9828 
250 582.96 9829 114 9829 
251 583.5 9868 134 9868 
252 584.05 9847 120 9847 
253 584.6 9884 127 9884 
254 585.14 9940 115 9940 
255 585.69 9896 134 9896 
256 586.24 9913 122 9913 
257 586.79 9966 135 9966 
258 587.34 10000 118 10000 
259 587.89 10054 134 10054 
260 588.44 10064 116 10064 
261 588.99 10089 137 10089 
262 589.55 10168 123 10168 
263 590.1 10232 127 10232 
264 590.66 10208 124 10208 
265 591.21 10248 132 10248 
266 591.77 10276 114 10276 
267 592.33 10359 134 10359 
268 592.89 10412 122 10412 
269 593.46 10437 130 10437 
270 594.02 10437 114 10437 
271 594.59 10458 137 10458 
272 595.15 10552 115 10552 
273 595.72 10563 131 10563 
274 596.29 10563 121 10563 
275 596.86 10655 136 10655 
276 597.43 10710 124 10710 
277 598 10713 137 10713 
278 598.57 10779 123 10779 
279 599.15 10788 133 10788 
280 599.72 10854 123 10854 
281 600.29 10847 135 10847 
282 600.86 10918 125 10918 
283 601.44 11004 143 11004 
284 602.01 11034 124 11034 
285 602.58 11070 133 11070 
286 603.16 11081 119 11081 
287 603.73 11128 139 11128 
288 604.3 11179 116 11179 
289 604.87 11199 135 11199 
290 605.44 11217 120 11217 
291 606.01 11291 129 11291 
292 606.58 11287 122 11287 
293 607.15 11319 141 11319 
294 607.72 11383 113 11383 
295 608.28 11367 136 11367 
296 608.85 11466 111 11466 
