,0,1,2,pH,label
132,-1.3992069015815098,-0.23563949847077836,0.20661577342377263,3.24,0
131,-1.4611574978943391,-0.25160438212054287,0.21355519950478374,3.24,0
139,-1.4757009674733879,-0.2689296343572123,0.21986862664285037,3.24,0
138,-1.4291890747987472,-0.20681474977854802,0.24445651242529418,3.24,0
137,-1.3966836566503376,-0.23866970511954225,0.21149515888012257,3.24,0
136,-1.374715218135364,-0.24068786203179499,0.1913440485842163,3.24,0
135,-1.3642063832879345,-0.21288583859952329,0.21577876622331885,3.24,0
134,-1.3422486667698785,-0.22475343427678526,0.20319472373711256,3.24,0
130,-1.538077601773719,-0.2469636232827352,0.22715024053757038,3.24,0
210,-1.3420367296531353,-0.07881053803243901,0.14915730619475892,3.24,1
133,-1.371796793741961,-0.24847170650222553,0.1893768985324582,3.24,0
216,-1.131073654677587,-0.1344751487713741,0.08364703738026352,3.24,1
219,-1.155115289434219,-0.11400793531154668,0.09828263591752107,3.24,1
218,-1.0695416228055772,-0.10767505103133514,0.06565254527656618,3.24,1
217,-1.112808687944992,-0.1061669460523931,0.08994609981887501,3.24,1
211,-1.2952055893319157,-0.09506853738253687,0.1325682881951648,3.24,1
215,-1.137657705035953,-0.12927845961875947,0.09018188847363484,3.24,1
214,-1.1561845809464721,-0.13069864829748773,0.08943375144997075,3.24,1
213,-1.2324682211257447,-0.11074317141166894,0.10324512880350531,3.24,1
212,-1.2502226071554114,-0.11885363318582619,0.11361828605584008,3.24,1
209,-1.142188725216477,-0.071284251566269,0.08525206348027126,3.28,1
202,-0.9788049453624253,-0.104771339141038,0.03301281476793063,3.28,1
208,-1.1212700559613171,-0.07260103072858498,0.07522025878500752,3.28,1
200,-0.9510847328368548,-0.10096505712106232,0.0207671925147612,3.28,1
207,-1.1070585921182305,-0.05560839283076141,0.07957451877913778,3.28,1
201,-0.9543595515113683,-0.09845448298064269,0.0218716564936141,3.28,1
205,-1.063746218393248,-0.07890562902596213,0.0589892519640157,3.28,1
204,-1.0496451535003193,-0.08995426866310927,0.04154368783538988,3.28,1
203,-0.977874728804504,-0.08249766176144117,0.042251684654108466,3.28,1
206,-1.096532261330992,-0.07554623605558426,0.06671275144502994,3.28,1
120,-1.085808389352945,-0.165003124368489,0.07028411208314872,3.3,0
121,-1.0948216434025522,-0.16989102423951707,0.09030653137183395,3.3,0
123,-1.1334216865622835,-0.17705267611360603,0.08870477882177193,3.3,0
124,-1.1514897753564284,-0.17491319416512335,0.10097566293962862,3.3,0
128,-1.2427947518606564,-0.15370422254832936,0.12366213261973914,3.3,0
125,-1.1721927464123953,-0.17742803800668824,0.10642744836178303,3.3,0
126,-1.181577038394567,-0.17327990997221687,0.11551650009541549,3.3,0
127,-1.2004856323614599,-0.18174065857085472,0.13397309095366172,3.3,0
122,-1.1018647990447261,-0.17341888320783716,0.08369340783587477,3.3,0
129,-1.3039240669243255,-0.13219770387460553,0.14104800620792435,3.3,0
199,-0.8503903475394556,-0.025904552653428174,0.0016084001552064667,3.32,1
198,-0.8733898093076903,-0.00878936428033676,0.012340825123559261,3.32,1
197,-0.8914354269572298,-0.021582895614572217,0.012732256315140354,3.32,1
196,-0.9082105967630987,-0.020343171302705364,0.0155876745667969,3.32,1
195,-1.0196907167207065,0.0014011244113625667,0.05750038200516708,3.32,1
194,-1.0062067744571408,-0.003782417254799799,0.03998693344135196,3.32,1
193,-0.987278997814629,-0.008451728403505632,0.04142318019355956,3.32,1
192,-0.9753740215678462,-0.010961877864459216,0.029536777401074184,3.32,1
190,-0.9401875538174072,-0.014894474146176999,0.025461283821023,3.32,1
191,-0.9683232771279887,-0.020452944303711126,0.03602474950284734,3.32,1
119,-0.8876990913598884,-0.1194919675895085,0.014044737321694697,3.35,0
118,-0.9029916764599725,-0.1126999383793668,0.022094684759970205,3.35,0
117,-0.9412919276725913,-0.08279553163427948,0.0634853212392303,3.35,0
116,-0.9496879804352233,-0.11259878104069232,0.041910339095105595,3.35,0
112,-1.0531644346718905,-0.1117647738534637,0.08614946678759107,3.35,0
114,-0.9945379862028836,-0.12493180709381554,0.038007529346573685,3.35,0
113,-1.018502143149099,-0.1064431404198099,0.0761656825303777,3.35,0
111,-1.0135802419248925,-0.14253366739957912,0.0526367129200643,3.35,0
110,-0.9958585384002098,-0.11599457914410832,0.052904163224212764,3.35,0
115,-0.9717650260402726,-0.11938238542270747,0.03750672472691676,3.35,0
188,-0.6172156991134341,-0.06488808423866649,-0.027507651503573413,3.36,1
189,-0.6284552664361845,-0.07577818172546003,-0.035337610079008624,3.36,1
187,-0.6072567631620271,-0.06313651019719568,-0.031439917145299194,3.36,1
180,-0.5588567703702959,-0.06944683689928875,-0.03902000483486967,3.36,1
