,0,1,2,pH
259,-0.9260645727726852,-0.11517050982089025,0.030532617607889334,3.23
250,-0.9082139452660509,-0.09540469698980863,0.03808728006474557,3.23
251,-0.9272236599830571,-0.1022759113864429,0.03619829101014477,3.23
252,-0.9377179463357199,-0.09995115732699827,0.040679529993564556,3.23
253,-0.9466685810096181,-0.09914947424067894,0.04336759805789217,3.23
258,-0.9378725168859707,-0.0993269028661557,0.03799195452006851,3.23
255,-0.9616270480715181,-0.09200770293059823,0.052315184840020096,3.23
256,-0.940388644810199,-0.08820169064621272,0.04471006825066784,3.23
257,-0.9302727202198906,-0.08722152579688014,0.04398134871163581,3.23
254,-0.9537415807147197,-0.09951459283987124,0.04541187983641004,3.23
240,-0.9577869120094096,-0.12482644610895186,-0.0005242653396469177,3.24
241,-0.9700846486887098,-0.10587413507359889,0.007067865464857798,3.24
242,-0.9814853559260789,-0.10599401357741856,0.01269258597867437,3.24
243,-0.9918080847427937,-0.11456023750217537,0.00591071180444086,3.24
244,-0.995408739413921,-0.11701241072850854,0.005688867113404772,3.24
245,-0.9839425198105636,-0.1250187120571079,-0.0029253325976929534,3.24
246,-0.9896965620354086,-0.13544219702631777,-0.003362306496711459,3.24
247,-0.9633557154321711,-0.11151722473460551,0.0034906234946425196,3.24
248,-0.9532556604453983,-0.11639330836233197,0.003438129579997007,3.24
249,-0.9681671473892113,-0.11492954669786876,0.00023396074665155142,3.24
230,-0.9709162394154983,-0.08066175840962872,0.023598077445965177,3.25
231,-0.9836002604768469,-0.08247600035914243,0.025606992895861297,3.25
232,-0.9916816504241508,-0.06597177725692019,0.031404915755313095,3.25
233,-1.0026835921069028,-0.07858794192239812,0.03030955176950137,3.25
239,-1.0382408649042327,-0.1033000035208517,0.023141221009082585,3.25
235,-1.021708106781141,-0.07739289945910824,0.038972639362431144,3.25
236,-1.020425075608394,-0.06804906753584936,0.03714351152385342,3.25
237,-1.0100123442626758,-0.09901860861389525,0.027606698614350056,3.25
238,-1.032613707290374,-0.10287197979227566,0.019549092353278424,3.25
234,-1.013346814129436,-0.061520935562496715,0.041652606840818535,3.25
222,-0.9615667483384897,-0.08514420861087266,0.00575061082729339,3.26
220,-0.9193507982379941,-0.06160291883011265,0.011140953016411326,3.26
221,-0.9386242948591368,-0.06336055096939572,0.008847903859683037,3.26
223,-0.946266854561824,-0.04206961191146874,0.018818926168059136,3.26
224,-0.9471564527868496,-0.024905457733092995,0.020805029593069818,3.26
225,-0.953764010838446,-0.05729833987354285,0.009345250563064539,3.26
226,-0.9722815563749659,-0.06337742217642159,0.004303300233613694,3.26
227,-0.9410919449381798,-0.06368232245172378,0.006782840868865436,3.26
228,-0.9456001775706168,-0.0810736363537447,0.00490318019166136,3.26
229,-0.9615742147155523,-0.07543118973265606,0.004025230371591387,3.26
211,-0.8005124313651695,-0.016005576967528495,-0.0025598212155128752,3.27
212,-0.8186310526185796,-0.010593232856735219,0.00453902092986741,3.27
213,-0.8244733793461695,-0.004089657994382517,-0.00368299753293469,3.27
214,-0.843135339393395,-0.010719315770696847,-0.004153234329470512,3.27
210,-0.7963215448034074,-0.03336544048448617,-0.010117401487004962,3.27
216,-0.8890977678128715,-0.038341160101602906,-0.005305642485335493,3.27
217,-0.8430638313235824,-0.037702174492419555,-0.008275301355620907,3.27
218,-0.9546161969497569,-0.03269591409556177,0.0019736805293764093,3.27
219,-0.9213591460028372,-0.037710210409094225,-8.666732840917346e-05,3.27
215,-0.8488612874991887,-0.004990985609709397,-0.0011943857369374755,3.27
200,-0.7258050408913649,-0.0018379814341586698,-0.021784824737920816,3.28
201,-0.7494390619116826,-0.0038814950948660443,-0.02065515359588113,3.28
202,-0.758658423567257,-0.0071523885556411815,-0.026028176318120794,3.28
203,-0.7683110331306867,0.009786500315712515,-0.01914991476811695,3.28
205,-0.8008162825687128,-0.012826753944431252,-0.025886751891375098,3.28
206,-0.789859865451049,0.00870503177900972,-0.012147103861965436,3.28
207,-0.7887196859175613,-0.004292433420758468,-0.016865417438043095,3.28
208,-0.7821060153969215,-0.012637102031049618,-0.01899656229233987,3.28
209,-0.7611086082700915,-0.011445049018912079,-0.01658071471744954,3.28
204,-0.7873834901241179,0.004315079488018986,-0.016298094037857258,3.28
190,-0.7728683061065218,0.049670784966351106,0.007493261424032421,3.29
192,-0.7771780482880811,0.06290185506313813,0.01802901168853066,3.29
193,-0.7719736246440053,0.052993960561095066,0.01116878188920567,3.29
191,-0.8030512992738296,0.052517590231813446,0.012661786706165357,3.29
194,-0.7262620087841135,0.07349645616567875,0.021165686950490065,3.29
196,-0.7148068319713134,0.07559857731208494,0.021208480749936698,3.29
197,-0.6995491433152734,0.11451881215971536,0.030784542893826608,3.29
198,-0.6749610101302885,0.12122331561321584,0.031076878602220484,3.29
199,-0.6388085570279428,0.1280052612995077,0.033671021240083726,3.29
195,-0.7081580299331416,0.09033234400109973,0.028519959062682898,3.29
181,-0.8186381996804667,0.015134987104908182,-0.031028528589746834,3.3
182,-0.8352421096401497,0.009314649008706849,-0.03273062600702348,3.3
183,-0.8205241952623066,-0.021983540196950452,-0.03938140564998999,3.3
184,-0.8022801948687176,-0.017898708273741237,-0.03908759161780398,3.3
180,-0.8125390499331688,-0.005902667527352218,-0.038464117904948525,3.3
186,-0.8282811240921155,-0.02306085855382181,-0.04339172626603213,3.3
187,-0.8374272223726954,-0.020132307506163183,-0.041552981591937904,3.3
188,-0.8492571785434516,-0.007979627720246713,-0.043977033100529306,3.3
189,-0.8597372765205302,-7.406824005856683e-05,-0.038651889376981274,3.3
185,-0.787673160453307,-0.007748890628464705,-0.035294670482008905,3.3
170,-0.873128896293909,-0.008906139400638363,-0.01575388385876267,3.31
171,-0.8714136837928254,-0.0025213362415769103,-0.019098421007323174,3.31
172,-0.861628552227937,-0.011179454787487692,-0.021916986966283802,3.31
173,-0.8604241825331793,-0.015370226593371339,-0.027239532028071556,3.31
174,-0.8555116465614171,-0.03598718347036034,-0.034546216145990044,3.31
176,-0.8338990607001083,-0.011380102851791085,-0.025334572146294726,3.31
177,-0.8508728618456218,-0.006059552122633288,-0.022344380240648026,3.31
178,-0.8685191589063881,-0.0174281304339044,-0.028308345921182976,3.31
179,-0.8891232042974428,-0.006482261460789895,-0.02070741337217294,3.31
175,-0.847288414654101,-0.02374691328721254,-0.030432773916132166,3.31
160,-0.861169337182833,0.013680775002961137,-0.014492887541680377,3.32
161,-0.8811136442160971,0.012495535120912143,-0.0063616415771430845,3.32
163,-0.9212079959160496,0.024843656949847276,-0.0015409670337694636,3.32
164,-0.9373250808003377,0.030725595329620936,0.0029052554614228954,3.32
