,0,1,2,pH
255,1.5566125068389822,-0.2474772226867513,-0.004198621695653326,3.23
250,1.5025040209282827,-0.24018794399664217,0.001552226718641192,3.23
251,1.519461099174595,-0.24984021922543992,-0.007021765483219533,3.23
259,1.5146222231114965,-0.2607057465322664,-0.013943123288787551,3.23
258,1.530273028237146,-0.25094431672717876,-0.004302991565936082,3.23
257,1.5260309210191418,-0.23935117482151852,0.006339914689958509,3.23
256,1.5365156542165508,-0.24031793080818176,-0.00033917449364884167,3.23
252,1.530687696745306,-0.2495068042925669,-0.007549562467020404,3.23
254,1.5463490312056283,-0.25321627447407213,-0.006799110446149281,3.23
253,1.539155035461798,-0.25223534415183096,-0.004372643395201298,3.23
244,1.5845595119427751,-0.27205279519381775,-0.045867469753146844,3.24
245,1.5704177859156592,-0.27796399395202237,-0.046955981347718334,3.24
246,1.5713278732696057,-0.29285827226533606,-0.04292852035500991,3.24
247,1.5537489873298982,-0.26243504800634143,-0.0340482168881886,3.24
248,1.5423679706218962,-0.2645213085148278,-0.034728049874288874,3.24
241,1.5635813625412434,-0.2548744605869831,-0.04080429497527521,3.24
249,1.5572100214118212,-0.2672066467026402,-0.03519093309942953,3.24
240,1.54609138634211,-0.268436493035435,-0.04964237673378122,3.24
243,1.5817538534274251,-0.2690203053787742,-0.04357284092977565,3.24
242,1.575671939274805,-0.255085016245012,-0.04581118199861564,3.24
239,1.6269771708419296,-0.2792766317341924,-0.022881643142968616,3.25
238,1.6207320683623019,-0.2798966627712974,-0.018216783542956277,3.25
237,1.5988295985781265,-0.2735399395190392,-0.007016177000709611,3.25
236,1.6179571440387472,-0.24890162650206066,0.010340055996600483,3.25
235,1.6167261313008294,-0.2567474360974734,0.004886826762580232,3.25
233,1.5973608923890175,-0.2544557828316847,0.006640448041073721,3.25
232,1.5895973912319277,-0.24251536052947095,0.018245840843937794,3.25
234,1.612265447185167,-0.24320914714437056,0.018462956347149923,3.25
231,1.5774579070982184,-0.2536925899679143,0.005762318525566024,3.25
230,1.565366498309372,-0.24958595057274885,0.009674892308521893,3.25
227,1.5410115923933139,-0.22828968904104316,0.015190602155470911,3.26
226,1.5729518708783436,-0.23193614871024726,0.0029276892927918574,3.26
225,1.5560775986103117,-0.22352532331809996,0.013329679954697471,3.26
224,1.5601237807316084,-0.19067743070807333,0.025648659599381007,3.26
223,1.5549557691326343,-0.20370256898157707,0.013435420255471286,3.26
222,1.5559596406430867,-0.24887875702006784,-0.0027023703551749267,3.26
228,1.5396322698484868,-0.24650868326967923,0.010286471233023342,3.26
221,1.5408210314982569,-0.22181534916507992,0.004611956789288968,3.26
220,1.5212315063882633,-0.2189573322846816,0.015257886382970598,3.26
229,1.5578441289422564,-0.24291003237631392,0.005415022444728551,3.26
214,1.4664699248619741,-0.1434432454258466,0.014901733286679597,3.27
213,1.449973910373628,-0.13368886535107427,0.02049528999891803,3.27
210,1.414664729488462,-0.1508259246273146,0.004202679185180053,3.27
215,1.474992880085852,-0.13651897612835223,0.01008572841918956,3.27
216,1.5020694913479458,-0.18209576090900523,0.002967456523176426,3.27
217,1.457608314250678,-0.16963128241764722,0.006096581008040225,3.27
218,1.5662699783361291,-0.19657194554879348,0.00865555189582623,3.27
219,1.5330508394407396,-0.19111967560319115,0.0051036824838666395,3.27
211,1.4243653816836097,-0.13503363413743785,0.011612596857967311,3.27
212,1.4429456992427034,-0.13643190222647933,0.017063115888417385,3.27
208,1.4103158628380204,-0.12026948982238345,-0.0074096424585197995,3.28
207,1.4195917039407144,-0.11352838962036041,-0.006125586248235004,3.28
206,1.4246051965191378,-0.10208150421563,0.00039316546089065985,3.28
205,1.4279875380937388,-0.1264100226478386,-0.007859737253277571,3.28
204,1.419641552657306,-0.10863620372800695,0.004858171260594318,3.28
203,1.4027932674471588,-0.09876985377915323,0.00780219127364451,3.28
202,1.3877321508445346,-0.11318385327545552,0.0034459890677576155,3.28
209,1.3889626231792387,-0.11716584623966722,0.004006601698000933,3.28
201,1.3795806125063976,-0.10828982438510004,0.008328737860722274,3.28
200,1.3563024071796552,-0.10284008114684953,0.016742104807255687,3.28
190,1.4193007520752154,-0.06383665090146132,0.026459408659934652,3.29
191,1.4492841115222417,-0.06932569704614325,0.028806668244715727,3.29
192,1.4276561818646014,-0.05241136668917781,0.033563338767548495,3.29
193,1.4196086219700397,-0.06012059945665968,0.02822355701312701,3.29
194,1.3812347533419607,-0.03027859843076336,0.04402733221856553,3.29
195,1.369307541668416,-0.008930451334115602,0.0501105766373689,3.29
196,1.3712172307071437,-0.024254238810372863,0.042558378064746744,3.29
197,1.3668928157389766,0.011571737222785261,0.06816474265055958,3.29
198,1.344540512736486,0.02255627134838678,0.07505731349001576,3.29
199,1.3125722247100289,0.04083946490988344,0.07574568822019509,3.29
184,1.4281545176822914,-0.13080793830798634,-0.016952244379182718,3.3
183,1.444267456239452,-0.1401669090236291,-0.018734104406914892,3.3
180,1.441395182114119,-0.12352131365462155,-0.011392056664011302,3.3
185,1.4176156628747973,-0.1163761103943669,-0.014927585227933332,3.3
186,1.4521862508524883,-0.14132191023546908,-0.02533388817007229,3.3
187,1.461318720484484,-0.1425762805984285,-0.01983007055144137,3.3
188,1.476191689851003,-0.13547079376098023,-0.016396785824822735,3.3
189,1.4894784664118514,-0.12909707384926505,-0.01736623428177156,3.3
181,1.4531311944784002,-0.10737000593112406,0.0012499140168456546,3.3
182,1.4680389489776933,-0.11551437483076746,-0.006020657465666629,3.3
178,1.4926395526583969,-0.1472230895898993,-0.019963186410242167,3.31
177,1.4794047000609036,-0.13119221674940054,-0.016010742849844856,3.31
176,1.4610963027264736,-0.13223994654917667,-0.015792691504628364,3.31
175,1.4708951220102848,-0.14550042026228807,-0.026119431284094552,3.31
174,1.4746133841336417,-0.16013405813798084,-0.028081026729242203,3.31
173,1.4853779926192658,-0.14332150389226916,-0.017930801430624976,3.31
172,1.4882298118378232,-0.1386890189315689,-0.01699123596855953,3.31
179,1.516036669708061,-0.14228149903345488,-0.01552542618327632,3.31
170,1.5002132543993323,-0.1391619640513199,-0.015546000129653958,3.31
171,1.4996025409881102,-0.1352793428296698,-0.009423468564996429,3.31
168,1.5541321426745438,-0.15959992070004253,-0.0011209618830353707,3.32
167,1.5168475199113398,-0.13799788497555782,0.003177576022316303,3.32
166,1.5535146013412773,-0.1533901009745434,-0.0012073304769222304,3.32
165,1.5858129340014409,-0.14260770252196103,0.005876772098632799,3.32
163,1.5546881323793214,-0.12722594296727174,0.008684270623277063,3.32
